;SPV_event_date;SPV_event_value;WON_event_date;WON_event_value
183;2017-02-28;-6,034712789690091;2003-01-06;-32,31381050000001
184;1993-02-11;-6,01226424150446;1996-10-19;-32,16955129032258
185;2017-05-20;-6,010934469322262;2009-02-11;-31,901926290322553
186;1996-02-18;-5,99469900542692;1995-12-20;-31,87159115591398
187;2001-09-08;-5,984593079076544;1994-11-13;-31,85263467741936
188;1998-07-01;-5,970804294074689;2015-10-04;-31,8269033064516
189;2000-07-19;-5,9535654011087;2001-12-10;-31,81589056451613
190;2011-04-08;-5,929107833461101;1993-11-10;-31,78738774193548
191;1992-05-02;-5,92847617620272;1993-11-24;-31,762725403225794
192;2021-07-07;-5,928140082334949;1993-02-10;-31,72597588709677
193;2010-03-01;-5,926869169776886;2010-02-16;-31,724455080645164
194;1993-04-25;-5,9251330371082025;2011-11-19;-31,484598225806465
195;1996-04-14;-5,919231931931421;2014-03-06;-31,477427107293124
196;2021-10-24;-5,91836807754378;2007-10-16;-31,362343064516136
197;1998-04-21;-5,900351725152367;2015-10-10;-31,204010564516135
198;1993-07-17;-5,890770260811659;2012-12-04;-31,114940241935464
199;2021-10-04;-5,883927513665956;2007-10-28;-30,77698145161289
200;2018-04-05;-5,870827840328937;2013-11-28;-30,754931612903228
201;2016-06-19;-5,868213029305025;2001-02-21;-30,651318951612904
202;2014-04-12;-5,857675698620102;2012-02-05;-30,607114032258075
203;2013-09-15;-5,855484940494576;2017-09-30;-30,60135685483872
204;1992-05-14;-5,852251012562975;2016-03-04;-30,585393225806452
205;2015-06-03;-5,851954156649831;2020-10-20;-30,5028539516129
206;2020-02-28;-5,829401547290088;2004-03-08;-30,39979508064515
207;2012-04-30;-5,82813922014388;2006-04-28;-30,390133951612896
208;2003-07-08;-5,8119112331090514;2003-10-25;-30,37137161290322
209;2019-10-16;-5,799359444887448;2001-09-30;-30,352556854838717
210;2010-09-20;-5,786610020424814;2021-09-09;-30,328155241935484
211;1999-08-22;-5,783130554600154;1995-11-12;-30,31396766129033
212;2008-10-07;-5,758392054997379;2006-02-01;-30,22404935483873
213;2006-06-28;-5,739865138168044;2008-12-18;-30,219361266129038
214;1996-07-06;-5,738980771084947;2016-11-01;-30,19916104838711
215;2012-10-25;-5,737679529475949;1996-01-04;-30,15336933333335
216;2006-06-22;-5,7331490772569635;2003-09-21;-30,076144354838718
217;2005-08-17;-5,731252961827846;2009-12-21;-30,00375891666664
218;2013-08-01;-5,71925558290891;1999-11-16;-29,93678169354838
219;2000-04-30;-5,707363135943885;2012-12-20;-29,93325891666666
220;2009-11-17;-5,680399264738555;2021-12-19;-29,852261266129034
221;1993-06-04;-5,661522912383742;1998-09-30;-29,789856854838703
222;2005-07-08;-5,657806645449048;1997-12-06;-29,778368467741927
223;2008-07-18;-5,648688059760665;1991-10-12;-29,755792016129053
224;2000-11-02;-5,645335049757468;2014-11-19;-29,74439822580645
225;2007-05-14;-5,630287547783195;2007-02-26;-29,703742500000008
226;2003-05-30;-5,624238849170128;2021-05-20;-29,63839016129035
227;2011-06-20;-5,607211526305027;2013-02-14;-29,587266209677416
228;2011-07-15;-5,5726094782923195;2006-10-20;-29,571651290322592
229;2010-08-30;-5,547043576068176;2011-04-22;-29,276240887096765
230;2000-03-31;-5,53884761569953;2021-12-29;-29,21432324999997
231;2019-10-01;-5,521402481533556;2003-10-05;-29,112083145161282
232;2011-06-26;-5,50482424797891;2008-12-13;-29,080468959677436
233;2001-09-25;-5,50340842270769;2009-04-06;-29,073462741935487
234;2009-03-17;-5,501635732562084;2018-01-14;-28,99969916666666
235;2018-09-13;-5,482323837856615;1991-10-28;-28,95138145161291
236;2018-03-29;-5,465730150611999;2009-01-31;-28,87073709677419
237;2017-03-05;-5,458713801097188;2003-10-20;-28,676651290322592
238;2017-07-06;-5,454075329963705;1996-02-09;-28,536802096774206
239;2014-04-29;-5,449848450848192;2001-10-26;-28,531757499999987
240;1998-06-19;-5,442919690628046;1998-01-28;-28,36970233602151
241;2000-09-09;-5,441693134124957;1999-04-02;-28,35414677419356
242;1992-08-19;-5,438674912401386;1994-02-13;-28,296144677419345
243;2006-08-10;-5,436323192132954;2002-01-18;-28,28414266666666
244;2008-09-09;-5,434693619259959;2018-03-14;-28,245539516129025
245;2008-08-29;-5,431258915854178;2010-09-29;-28,2431281451613
246;2001-07-22;-5,422476133548707;2016-11-06;-28,22873814516129
247;2017-08-19;-5,4172422952732715;2016-09-13;-28,130975645161296
248;2011-08-12;-5,413199627197692;2016-12-01;-27,87898274193547
249;1998-08-29;-5,409825830672774;2019-02-25;-27,873776290322574
250;2006-05-23;-5,355661627601417;2006-03-20;-27,81740887096775
251;2006-06-03;-5,354856270111833;1994-04-26;-27,789993709677436
252;1995-04-11;-5,3390948751126;2005-02-12;-27,788635483870973
253;2020-10-02;-5,321719149712367;2012-03-23;-27,786331854838714
254;2008-04-05;-5,31918244213117;2016-06-18;-27,778310887096794
255;2021-05-28;-5,31036179206539;2004-04-17;-27,699375483870963
256;2017-03-10;-5,3030202393950905;2006-10-01;-27,68360564516129
257;2004-07-22;-5,300164230752431;2002-08-12;-27,527451612903224
258;1997-04-30;-5,290368921547368;1991-03-12;-27,51515806451613
259;2012-04-11;-5,283625929498098;2017-09-05;-27,37407532258065
260;2000-09-14;-5,279228355844576;1997-02-06;-27,336647338709657
261;1998-10-29;-5,27846130441617;1993-10-22;-27,224564354838723
262;2008-05-01;-5,260152265689699;2001-10-20;-27,196551290322567
263;2007-07-31;-5,259907698238168;2014-10-18;-27,194737177419356
264;2007-09-13;-5,256301388356613;1992-10-03;-27,095303306451612
265;2013-10-16;-5,237959136407448;2011-02-19;-27,054591612903227
266;1997-07-03;-5,234134430726943;2008-09-28;-27,04752814516129
267;2012-07-16;-5,199303107151655;1999-03-12;-27,024258064516115
268;2000-04-24;-5,193100062978205;2019-11-27;-26,986841370967742
269;1999-10-15;-5,184970972688871;2010-02-11;-26,964826290322584
270;2002-08-27;-5,1427547376413605;2003-10-31;-26,955604112903224
271;2018-06-25;-5,12170185323275;2019-11-06;-26,94338580645162
272;2006-02-08;-5,1193568709221005;1996-04-16;-26,864793629032267
273;2011-01-19;-5,116764482395774;2009-03-21;-26,82075927419355
274;1999-03-12;-5,11481530294324;2005-01-31;-26,803737096774185
275;2015-06-21;-5,101267847315624;2010-10-18;-26,73303717741935
276;1997-08-31;-5,085688959584865;2001-12-04;-26,714419112903233
277;2020-09-11;-5,06782570013146;2012-01-31;-26,5932370967742
278;2011-10-14;-5,066245199711463;1999-09-05;-26,560275322580654
279;1993-04-14;-5,025060329400961;1995-05-08;-26,542543064516117
280;1998-05-26;-4,981325952420668;2005-12-30;-26,530927250000023
281;2016-04-10;-4,979539902531503;2016-12-06;-26,52629193548387
282;2014-05-05;-4,9772017318775115;2011-03-20;-26,421608870967738
283;2010-10-01;-4,95219106388236;2014-09-21;-26,384744354838713
284;1994-06-10;-4,941578676051679;2007-05-29;-26,300035564516143
285;1996-05-25;-4,9295397774406675;2005-10-10;-26,249410564516133
286;1994-09-16;-4,928640333266564;2010-02-21;-26,24231895161289
287;1997-05-28;-4,928624356236391;1997-10-29;-26,163967258064517
288;1995-06-12;-4,920589610884633;2011-11-14;-26,13517274193549
289;2007-11-01;-4,898915400767901;2018-11-09;-26,019955887096764
290;2018-08-17;-4,871460791927848;2019-02-04;-25,976053870967736
291;1991-03-23;-4,857191264093335;2002-08-27;-25,96915870967741
292;1995-04-18;-4,83231405542873;2014-05-01;-25,92212008064517
293;1993-06-29;-4,818927975615592;2020-07-19;-25,835250887096795
294;2017-09-13;-4,809117705976617;1996-09-10;-25,800891129032244
295;2010-05-04;-4,806733737941817;2008-04-17;-25,74227548387096
296;2014-01-27;-4,803699106877421;2003-11-29;-25,676449758064514
297;1994-11-15;-4,796844633072536;2020-06-21;-25,6601066935484
298;2010-08-24;-4,777908518133337;1992-01-27;-25,570713080645156
299;2019-03-08;-4,7411584849909;2004-03-01;-25,566227096774192
300;2007-02-15;-4,728075139807138;1997-05-25;-25,55893298387097
301;2007-06-27;-4,727714998227864;2018-06-07;-25,490672661290315
302;2006-05-02;-4,719579098189702;1991-09-16;-25,46077266129032
303;2005-06-07;-4,714476876711347;2006-02-19;-25,45759161290325
304;2004-02-13;-4,6787495375073975;2015-03-19;-25,45133370967742
305;1997-02-14;-4,669698520441568;2007-03-16;-25,44294532258064
306;2010-08-08;-4,660928523462219;2017-04-09;-25,44279104838709
307;2001-04-17;-4,656664365812487;1994-09-27;-25,41941870967742
308;2012-03-03;-4,647940378470962;2016-10-13;-25,409519919354832
309;2020-07-17;-4,623883486043907;2004-11-12;-25,373134677419348
310;2004-09-28;-4,623809321517346;2009-05-03;-25,353660725806467
311;2000-09-22;-4,603818685674495;1993-02-05;-25,350114032258073
312;1991-03-08;-4,601694825120896;2021-03-02;-25,296043881486664
313;2001-08-20;-4,597531176469384;2005-10-16;-25,252743064516128
314;2001-09-13;-4,596286959556616;2010-06-30;-25,24042419354838
315;1994-04-05;-4,574940517506942;1997-03-17;-25,200572741935495
316;1995-02-12;-4,570917467941926;1992-02-06;-25,13424733870969
317;2017-10-03;-4,546790414846369;2007-02-21;-25,092718951612916
318;1993-10-09;-4,540708274037739;2018-12-29;-25,051323250000006
319;2012-07-21;-4,53200425034871;1998-11-17;-24,99364088709678
320;2000-07-06;-4,51594718908495;2013-11-18;-24,907224435483865
321;1993-08-28;-4,512422463157357;2021-06-11;-24,89596330645162
322;1997-09-12;-4,50977637950346;1992-04-13;-24,864783951612893
323;2014-02-13;-4,504691345304295;2004-04-28;-24,80032290322581
324;1999-03-19;-4,503849313575774;2014-09-08;-24,783511532258057
325;2020-10-12;-4,474848471000486;2021-09-14;-24,76697564516128
326;2017-10-12;-4,46906880522301;1991-01-25;-24,71730040591397
327;2007-09-07;-4,453719568732818;1995-06-06;-24,57340499999999
328;2000-10-06;-4,430163222166727;2009-11-04;-24,469836290322593
329;2001-02-10;-4,429537400717948;2017-03-14;-24,40243951612904
330;2015-08-01;-4,405951918003914;1996-04-21;-24,338840887096772
331;1999-05-13;-4,394994259185923;2008-12-02;-24,32983741935483
332;2006-08-22;-4,387148257120155;1997-09-24;-24,32664322580645
333;1992-04-07;-4,386087391746203;2006-07-30;-24,3127468548387
334;1998-03-07;-4,376111125462202;2005-07-04;-24,28943903225806
335;1992-08-30;-4,369158192360865;1997-08-24;-24,284263145161304
336;2003-03-12;-4,3565681525932405;2017-03-30;-24,220220564516143
337;2020-02-03;-4,308007810616829;2013-09-28;-24,20836758064516
338;2003-11-25;-4,272551619380551;2013-07-19;-24,141218064516114
